UC Bacteria_1,UC Bacteria
UC Clostridiales_4,Candidatus Arthromitus
Paraeggerthella,Paraeggerthella [1]
UC Coriobacteriaceae_5,Paraeggerthella [2]
UC Firmicutes_2,Lactobacillus [3]
Clostridium,Clostridium [1]
UC Lachnospiraceae_5,Clostridium [2]
Lactobacillus,Lactobacillus [1]
UC Lactobacillaceae_5,Lactobacillus [2]
Alysiella,Alysiella [1]
UC Neisseriaceae_5,Alysiella [2]
Oscillibacter,Oscillibacter [1]
UC Ruminococcaceae_5,Oscillibacter [2]
Parabacteroides,Parabacteroides [1]
UC Porphyromonadaceae_5,Parabacteroides [2]
Bacteroides,Bacteroides [1]
UC Bacteroidales_4,Bacteroides [2]
Comamonas,Comamonas [1]
UC Comamonadaceae_5,Comamonas [2]
