"","SAMPLEID","cfu","dilution_factor","less_tissue","total_weight","tissueweight","logcfu_per_gram","zero_cfu"
"1","m1@fecal@psg@r5@7d_9",39,500,8.1903,8.2236,0.0332999999999988,5.76759037785621,5.76759037785621
"2","m1@fecal@psg@r5@21d_21",236,50,8.1282,8.1397,0.0114999999999998,6.01118416695252,6.01118416695252
"3","m3@fecal@control@r5@7d_14",1,5,8.1207,8.1525,0.0318000000000005,2.19654288435158,0
"4","m1@ileum_mucosa@van@r5@7d_14",1,5,8.2256,8.2526,0.0269999999999992,2.26760624017704,0
"5","m1@ileum_mucosa@psg@r5@21d_21",236,50,8.1282,8.1397,0.0114999999999998,6.01118416695252,6.01118416695252
"6","m2@ileum_mucosa@psg@r5@7d_9",47,50,8.1434,8.1903,0.0469000000000008,4.69989501955665,4.69989501955665
"7","m3@ileum_mucosa@psg@r5@21d_21",72,500,8.0489,8.0875,0.0386000000000006,5.96971519609553,5.96971519609553
"8","m3@fecal@van@r5@7d_14",1,5,8.1426,8.1814,0.0388000000000002,2.11013827874181,0
"9","m2@ileum_mucosa@control@r5@7d_14",1,5,8.1525,8.1795,0.027000000000001,2.26760624017701,0
"10","m2@fecal@control@r5@21d_21",1,5,7.9408,7.9565,0.0156999999999998,2.50307035192679,0
"11","m1@ileum_mucosa@control@r5@21d_21",1,5,7.9565,7.9734,0.0168999999999997,2.47108329972235,0
"12","m3@fecal@psg@r5@7d_9",63,50,8.1131,8.1434,0.0303000000000004,5.01686792528729,5.01686792528729
"13","m2@ileum_mucosa@control@r5@7d_9",1,5,8.1591,8.1856,0.0265000000000004,2.2757241303992,0
"14","m1@ileum_mucosa@control@r5@7d_9",1,5,8.1856,8.197,0.0113999999999983,2.64206515299961,0
"15","m2@ileum_mucosa@psg@r5@21d_21",91,500,8.0875,8.1282,0.0406999999999993,6.0484169874319,6.0484169874319
"16","m2@ileum_mucosa@control@r5@21d_21",1,5,7.9408,7.9565,0.0156999999999998,2.50307035192679,0
"17","m2@fecal@van@r5@7d_14",1,5,8.1814,8.2256,0.0442,2.05354773498693,0
"18","m1@fecal@control@r5@21d_21",1,5,7.9565,7.9734,0.0168999999999997,2.47108329972235,0
"19","m3@fecal@control@r5@7d_9",1,5,8.1063,8.1591,0.0528000000000013,1.9763360818022,0
"20","m3@ileum_mucosa@psg@r5@7d_14",289,50,8.1604,8.1995,0.0391000000000012,5.56769108969669,5.56769108969669
"21","m2@ileum_mucosa@van@r5@7d_14",1,5,8.1814,8.2256,0.0442,2.05354773498693,0
"22","m3@ileum_mucosa@van@r5@7d_14",1,5,8.1426,8.1814,0.0388000000000002,2.11013827874181,0
