"","IL21","IL22","IL17A","IFN","TNF","IL4"
"m2_ileum_mucosa_psg_r2_7d",-11.9917389876152,-4.64240694847364,-10.1765647965994,-7.62304173467474,-8.40011262465559,-12.3736490483959
"m2_fecal_psg_r6_7d_repeatredone",-13.2551693189464,-12.4869644905116,-10.9698746939095,-8.95601603357845,-12.8780025136585,-7.09402582277162
"m5_ileum_mucosa_flu_r2_7d",-9.91810385211041,-5.32228807631838,-7.97774221064192,-7.13695588728522,-7.73105442600795,-11.5359474488382
"m3_fecal_control_r5_21d",-7.59909010285307,-7.55045081924599,-7.91009966479091,-5.80461990158644,-10.420200472471,-12.2381950910989
"m4_fecal_control_r6_21d",-6.82612921010219,-5.65466664923444,-6.75502015655204,-2.251302798667,-9.69139685963529,-9.81986725208616
"m2_fecal_psg_r5_7d",-13.2328257744431,-13.5037262910871,-13.8095682485086,-8.42352526846872,-13.7773095953491,-8.87099369907948
"m2_fecal_psg_r5_21d",-11.9018786483273,-11.7695430731422,-12.3572374541775,-7.92834042833212,-10.5445091851276,-12.5888422559062
"m1_ileum_mucosa_van_r5_7d",-12.4189094938557,-12.3772074084837,-11.8070361567871,-8.08923626467285,-12.7412626857488,-11.3198535673834
"m3_ileum_mucosa_control_r4_21d_repeat",-9.44699605232232,-6.88506466906244,-8.44215065610274,-7.62602131296017,-10.7235412615305,-10.1733794788906
"m2_fecal_control_r1_7d",-9.38728998353974,-5.15597441003127,-8.23875117712101,-6.42128177578051,-3.76688856428259,-13.8007697396428
"m3_fecal_amp_r1_7d",-9.88216255522169,-5.48860174260548,-7.89192878444426,-7.02778283168337,-7.14625107525102,-11.328090403012
"m3_fecal_flu_r2_7d",-8.47690573973856,-5.15597441003127,-7.40888142843934,-6.8553146430427,-7.38979100445171,-10.8082895335718
"m4_ileum_mucosa_amp_r2_7d",-8.60677331936891,-5.48860174260548,-7.94427766693828,-6.84423602712305,-7.05703865669929,-12.4057975661562
"m2_ileum_mucosa_van_r6_7d",-9.61607801721922,-7.93713632457606,-9.76736701464289,-8.60453371347725,-7.79762075382014,-8.27538098884705
"m3_ileum_mucosa_amp_r2_7d",-9.88216255522169,-5.48860174260548,-7.89192878444426,-7.02778283168337,-7.14625107525102,-11.328090403012
"m4_ileum_mucosa_van_r6_21d_repeatredone",-12.4801411380297,-11.1253731709806,-12.4194812357163,-9.54407755227622,-9.24418261506583,-4.20260260499344
"m3_fecal_psg_r1_7d",-10.8552966596825,-7.6033233876251,-9.66193999860423,-7.87713038194875,-8.11402739135866,-12.4752313399489
"m4_fecal_flu_r2_7d",-8.91348549859207,-5.15597441003127,-7.47377829946318,-6.614906576579,-7.60101446581455,-12.5298849582366
"m3_ileum_mucosa_psg_r2_7d",-10.8552966596825,-7.6033233876251,-9.66193999860423,-7.87713038194875,-8.11402739135866,-12.4752313399489
"m4_ileum_luminal_van_r2_7d",-7.19834423900738,-10.1474462435643,-9.24537187214811,-7.67920568099937,-7.10358161620726,-8.37450943474424
"m1_fecal_psg_r5_7d_repeat",-12.9587023503483,-9.67787026343575,-11.0384008209306,-8.86998995095732,-12.3850031584181,-11.1075336928844
"m2_ileum_mucosa_van_r5_21d",-10.3507657711578,-11.9198371188214,-11.1388753474224,-6.86981423040428,-10.2267968026311,-12.5764061587761
"m2_fecal_amp_r1_7d",-9.69467013193821,-5.20337816463841,-7.71209327172922,-6.7650931982505,-5.41732390037315,-11.1470123248742
"m1_ileum_mucosa_van_r6_7d_repeatredone",-13.6081874932036,-9.55443478370959,-11.3772850479021,-9.3230388559018,-13.0062305915503,-11.2573379570895
"m4_fecal_control_r6_21d_repeatredone",-9.67585807803763,-7.98175886101891,-8.29350179019919,-7.64423593853423,-11.1436887514693,-9.54579632518837
"m3_ileum_luminal_psg_r2_7d",-10.8552966596825,-7.6033233876251,-9.66193999860423,-7.87713038194875,-8.11402739135866,-12.4752313399489
